Name,SAT Critical Reading 25th percentile score,SAT Math 25th percentile score,SAT Writing 25th percentile score,ACT Composite 25th percentile score
The University of Alabama,490.0,500.0,480.0,22.0
Auburn University,520.0,540.0,510.0,24.0
Judson College,550.0,500.0,530.0,19.0
University of Montevallo,495.0,465.0,440.0,20.0
Samford University,500.0,510.0,500.0,23.0
University of South Alabama,440.0,435.0,420.0,20.0
Spring Hill College,480.0,480.0,480.0,21.0
Alaska Pacific University,465.0,450.0,435.0,20.0
University of Arizona,483.0,500.0,480.0,21.0
Embry-Riddle Aeronautical University-Prescott,500.0,540.0,490.0,23.0
Northern Arizona University,470.0,470.0,450.0,20.0
Prescott College,480.0,420.0,490.0,22.0
Lyon College,470.0,540.0,460.0,22.0
University of Arkansas at Pine Bluff,330.0,348.0,340.0,15.0
Arkansas State University-Main Campus,410.0,458.0,413.0,21.0
Arkansas Tech University,370.0,410.0,370.0,18.0
Central Baptist College,430.0,470.0,430.0,18.0
John Brown University,500.0,505.0,490.0,22.0
University of Arkansas-Fort Smith,350.0,430.0,390.0,19.0
Biola University,500.0,503.0,490.0,22.0
California Baptist University,430.0,420.0,420.0,18.0
California Institute of Technology,720.0,770.0,720.0,33.0
University of California-Berkeley,590.0,630.0,620.0,27.0
University of California-Davis,510.0,560.0,530.0,23.0
University of California-Irvine,460.0,530.0,490.0,21.0
University of California-Los Angeles,560.0,600.0,590.0,25.0
University of California-Riverside,470.0,500.0,480.0,20.0
University of California-San Diego,550.0,620.0,580.0,25.0
University of California-Santa Barbara,530.0,560.0,550.0,24.0
University of California-Santa Cruz,470.0,490.0,470.0,20.0
Chapman University,550.0,570.0,560.0,24.0
Concordia University-Irvine,453.0,450.0,450.0,20.0
San Diego Christian College,440.0,430.0,425.0,19.0
Claremont McKenna College,650.0,670.0,660.0,29.0
Dominican University of California,480.0,480.0,480.0,20.0
Fresno Pacific University,440.0,440.0,428.0,18.0
Harvey Mudd College,680.0,720.0,670.0,32.0
University of La Verne,460.0,470.0,460.0,20.0
La Sierra University,400.0,410.0,410.0,17.0
Loyola Marymount University,540.0,550.0,550.0,25.0
Menlo College,432.0,450.0,425.0,19.0
Mills College,540.0,500.0,520.0,23.0
Notre Dame de Namur University,430.0,430.0,430.0,18.0
Occidental College,600.0,610.0,610.0,27.0
Hope International University,433.0,420.0,423.0,17.0
Pacific Union College,450.0,440.0,440.0,18.0
University of the Pacific,500.0,530.0,500.0,22.0
Pomona College,690.0,690.0,690.0,31.0
University of San Francisco,530.0,540.0,530.0,23.0
Scripps College,640.0,640.0,660.0,29.0
Simpson University,460.0,450.0,450.0,21.0
Saint Mary's College of California,500.0,510.0,510.0,22.0
University of Southern California,620.0,660.0,640.0,29.0
Thomas Aquinas College,590.0,570.0,570.0,23.0
Westmont College,520.0,540.0,520.0,24.0
Whittier College,460.0,470.0,470.0,20.0
Adams State University,440.0,450.0,440.0,17.0
Colorado College,610.0,610.0,620.0,27.0
Colorado School of Mines,570.0,630.0,550.0,27.0
University of Denver,540.0,560.0,520.0,25.0
University of Bridgeport,410.0,420.0,410.0,18.0
Central Connecticut State University,450.0,460.0,450.0,19.0
Eastern Connecticut State University,460.0,470.0,470.0,20.0
University of New Haven,460.0,470.0,460.0,20.0
Quinnipiac University,490.0,510.0,500.0,22.0
Southern Connecticut State University,410.0,410.0,420.0,17.0
Trinity College,570.0,580.0,590.0,25.0
Wesleyan University,640.0,660.0,650.0,29.0
Yale University,700.0,710.0,710.0,32.0
Delaware State University,410.0,410.0,390.0,16.0
University of Delaware,520.0,540.0,520.0,24.0
Wesley College,360.0,360.0,360.0,16.0
American University,590.0,570.0,580.0,26.0
George Washington University,600.0,600.0,610.0,27.0
Howard University,490.0,480.0,480.0,21.0
Barry University,420.0,420.0,410.0,17.0
Lynn University,410.0,410.0,410.0,18.0
University of Central Florida,540.0,550.0,510.0,23.0
Edward Waters College,350.0,360.0,340.0,15.0
Embry-Riddle Aeronautical University-Daytona Beach,470.0,510.0,460.0,21.0
Florida Agricultural and Mechanical University,430.0,420.0,410.0,18.0
Florida Atlantic University,480.0,480.0,470.0,20.0
Flagler College-St Augustine,540.0,530.0,520.0,21.0
Florida International University,540.0,530.0,520.0,24.0
Florida Southern College,490.0,500.0,480.0,22.0
Florida State University,560.0,550.0,560.0,25.0
University of Florida,580.0,590.0,570.0,26.0
University of Miami,600.0,630.0,590.0,28.0
University of North Florida,540.0,540.0,500.0,23.0
Rollins College,550.0,550.0,540.0,24.0
University of South Florida-Main Campus,530.0,550.0,510.0,23.0
St Thomas University,410.0,408.0,400.0,16.0
Stetson University,540.0,530.0,510.0,23.0
Southeastern University,430.0,410.0,420.0,17.0
The University of Tampa,480.0,500.0,480.0,21.0
The University of West Florida,460.0,460.0,440.0,21.0
Berry College,530.0,530.0,520.0,24.0
Brewton-Parker College,400.0,410.0,370.0,17.0
Clayton  State University,440.0,420.0,420.0,18.0
Columbus State University,440.0,430.0,420.0,19.0
Covenant College,530.0,530.0,530.0,23.0
Emory University,620.0,650.0,640.0,29.0
Georgia Institute of Technology-Main Campus,600.0,660.0,610.0,28.0
Georgia College and State University,530.0,520.0,510.0,22.0
Georgia Southern University,520.0,510.0,490.0,21.0
University of Georgia,560.0,580.0,570.0,26.0
Kennesaw State University,500.0,490.0,470.0,21.0
Morehouse College,450.0,450.0,430.0,18.0
Oglethorpe University,520.0,510.0,490.0,22.0
Paine College,340.0,340.0,330.0,14.0
Savannah State University,390.0,380.0,370.0,16.0
Shorter University,410.0,410.0,410.0,18.0
Truett-McConnell College,430.0,410.0,400.0,17.0
Valdosta State University,480.0,470.0,450.0,20.0
Wesleyan College,450.0,430.0,420.0,17.0
University of West Georgia,440.0,430.0,420.0,18.0
University of Hawaii at Hilo,410.0,430.0,400.0,19.0
University of Hawaii at Manoa,480.0,500.0,470.0,21.0
University of Hawaii-West Oahu,400.0,400.0,380.0,16.0
University of Idaho,480.0,480.0,460.0,20.0
The College of Idaho,460.0,465.0,455.0,21.0
Northwest Nazarene University,460.0,460.0,460.0,21.0
Bradley University,500.0,510.0,490.0,23.0
University of Chicago,720.0,720.0,700.0,32.0
Eureka College,565.0,530.0,565.0,19.0
Greenville College,432.0,515.0,400.0,19.0
University of Illinois at Urbana-Champaign,560.0,700.0,580.0,26.0
Illinois College,410.0,410.0,420.0,19.0
Illinois Institute of Technology,520.0,640.0,520.0,25.0
Lake Forest College,510.0,510.0,510.0,23.0
Lewis University,440.0,480.0,440.0,21.0
Loyola University Chicago,520.0,530.0,520.0,24.0
McKendree University,450.0,490.0,430.0,20.0
Millikin University,490.0,440.0,450.0,21.0
Monmouth College,490.0,470.0,480.0,20.0
Northern Illinois University,450.0,450.0,430.0,19.0
Northwestern University,690.0,700.0,690.0,31.0
Rockford University,363.0,453.0,410.0,19.0
Roosevelt University,480.0,440.0,480.0,19.0
Dominican University,490.0,480.0,490.0,20.0
University of St Francis,480.0,440.0,460.0,21.0
Saint Xavier University,455.0,440.0,455.0,19.0
Southern Illinois University-Edwardsville,470.0,480.0,460.0,20.0
Trinity Christian College,450.0,460.0,430.0,20.0
Wheaton College,600.0,610.0,600.0,27.0
Ball State University,490.0,490.0,480.0,20.0
Bethel College-Indiana,440.0,460.0,430.0,20.0
Butler University,530.0,530.0,520.0,25.0
Calumet College of Saint Joseph,390.0,390.0,340.0,15.0
DePauw University,520.0,550.0,530.0,25.0
Earlham College,590.0,560.0,520.0,26.0
University of Evansville,490.0,500.0,480.0,23.0
Franklin College,450.0,460.0,430.0,19.0
Hanover College,490.0,510.0,480.0,23.0
Holy Cross College,440.0,430.0,400.0,19.0
Huntington University,440.0,440.0,423.0,21.0
Indiana University-Purdue University-Fort Wayne,440.0,450.0,430.0,19.0
Indiana University-Purdue University-Indianapolis,440.0,450.0,430.0,19.0
University of Indianapolis,450.0,460.0,440.0,19.0
University of Southern Indiana,440.0,450.0,430.0,19.0
Indiana State University,400.0,400.0,390.0,16.0
Indiana University-Kokomo,430.0,420.0,410.0,18.0
Indiana University-South Bend,430.0,430.0,400.0,18.0
Indiana University-Bloomington,520.0,540.0,510.0,24.0
Indiana University-Northwest,390.0,390.0,390.0,17.0
Indiana University-Southeast,420.0,430.0,410.0,17.0
Indiana University-East,410.0,410.0,400.0,18.0
Manchester University,440.0,450.0,420.0,19.0
Indiana Wesleyan University,470.0,480.0,460.0,21.0
Oakland City University,430.0,440.0,410.0,19.0
Purdue University-North Central Campus,430.0,430.0,410.0,17.0
University of Saint Francis-Fort Wayne,440.0,450.0,430.0,19.0
Saint Mary-of-the-Woods College,390.0,390.0,400.0,15.0
Saint Mary's College,500.0,490.0,500.0,23.0
Taylor University,520.0,510.0,500.0,24.0
Valparaiso University,500.0,510.0,480.0,23.0
Coe College,493.0,495.0,458.0,23.0
Cornell College,520.0,510.0,510.0,23.0
Dordt College,450.0,500.0,470.0,21.0
Grand View University,380.0,400.0,360.0,19.0
Iowa Wesleyan College,453.0,420.0,403.0,19.0
Luther College,433.0,500.0,460.0,23.0
Northwestern College,423.0,470.0,420.0,21.0
Wartburg College,380.0,440.0,380.0,21.0
Baker University,440.0,490.0,410.0,21.0
Bethany College,390.0,430.0,380.0,18.0
Bethel College-North Newton,390.0,420.0,380.0,19.0
Newman University,460.0,420.0,430.0,20.0
Ottawa University-Ottawa,390.0,400.0,350.0,19.0
Southwestern College,398.0,458.0,380.0,20.0
Sterling College,460.0,410.0,490.0,19.0
Alice Lloyd College,470.0,450.0,410.0,18.0
Berea College,510.0,513.0,483.0,22.0
Campbellsville University,420.0,400.0,400.0,18.0
Centre College,550.0,560.0,550.0,26.0
Eastern Kentucky University,440.0,450.0,430.0,19.0
Kentucky State University,350.0,323.0,343.0,16.0
Kentucky Wesleyan College,440.0,410.0,450.0,19.0
Kentucky Christian University,360.0,400.0,340.0,18.0
University of Louisville,470.0,510.0,470.0,22.0
Mid-Continent University,350.0,370.0,390.0,15.0
Midway College,490.0,430.0,470.0,19.0
Morehead State University,420.0,455.0,420.0,19.0
Louisiana College,410.0,430.0,380.0,18.0
Nicholls State University,437.0,482.0,392.0,20.0
Southern University at New Orleans,420.0,420.0,380.0,15.0
Tulane University of Louisiana,620.0,620.0,630.0,29.0
Xavier University of Louisiana,440.0,420.0,420.0,20.0
Bowdoin College,680.0,680.0,690.0,30.0
Colby College,620.0,640.0,620.0,28.0
Husson University,420.0,430.0,420.0,17.0
University of Maine at Fort Kent,400.0,410.0,400.0,18.0
University of Maine at Machias,410.0,410.0,390.0,18.0
University of Maine,480.0,490.0,460.0,21.0
Maine Maritime Academy,440.0,480.0,430.0,20.0
University of Southern Maine,450.0,440.0,440.0,20.0
Thomas College,390.0,400.0,390.0,16.0
Bowie State University,410.0,400.0,390.0,17.0
Frostburg State University,430.0,430.0,420.0,18.0
Hood College,450.0,460.0,460.0,18.0
Johns Hopkins University,650.0,670.0,660.0,30.0
University of Maryland-Baltimore County,540.0,570.0,530.0,24.0
University of Maryland Eastern Shore,400.0,390.0,380.0,16.0
Morgan State University,410.0,410.0,390.0,16.0
Mount St Mary's University,500.0,490.0,490.0,17.0
Salisbury University,540.0,540.0,530.0,22.0
St Mary's College of Maryland,570.0,540.0,540.0,25.0
Towson University,490.0,500.0,500.0,21.0
Stevenson University,440.0,450.0,450.0,18.0
Washington College,520.0,520.0,510.0,24.0
American International College,390.0,390.0,380.0,16.0
Amherst College,670.0,680.0,670.0,30.0
Bay Path College,430.0,410.0,410.0,18.0
Becker College,450.0,440.0,423.0,19.0
Bentley University,540.0,600.0,550.0,26.0
Boston College,620.0,650.0,640.0,30.0
Boston University,570.0,610.0,600.0,26.0
Brandeis University,600.0,630.0,620.0,28.0
Eastern Nazarene College,410.0,410.0,400.0,17.0
Emerson College,590.0,550.0,580.0,26.0
Emmanuel College,500.0,500.0,510.0,21.0
Endicott College,480.0,500.0,480.0,21.0
Fitchburg State University,440.0,450.0,430.0,18.0
Framingham State University,470.0,480.0,470.0,19.0
Gordon College,516.0,499.0,507.0,22.0
Harvard University,700.0,710.0,710.0,32.0
Lesley University,490.0,460.0,490.0,21.0
Massachusetts Institute of Technology,680.0,750.0,690.0,33.0
Massachusetts Maritime Academy,460.0,500.0,440.0,20.0
Mount Ida College,400.0,390.0,390.0,15.0
Nichols College,420.0,420.0,410.0,19.0
Northeastern University,640.0,660.0,640.0,30.0
College of Our Lady of the Elms,420.0,400.0,410.0,16.0
Simmons College,520.0,520.0,530.0,23.0
University of Massachusetts-Dartmouth,470.0,490.0,460.0,21.0
Stonehill College,510.0,520.0,510.0,22.0
Suffolk University,440.0,450.0,440.0,20.0
Tufts University,680.0,690.0,680.0,30.0
Wellesley College,660.0,650.0,670.0,29.0
Wentworth Institute of Technology,480.0,530.0,470.0,21.0
Wheelock College,440.0,450.0,450.0,19.0
Williams College,670.0,660.0,680.0,30.0
Worcester State University,450.0,470.0,450.0,20.0
Alma College,460.0,470.0,480.0,22.0
Andrews University,470.0,450.0,460.0,20.0
University of Detroit Mercy,480.0,500.0,480.0,22.0
Eastern Michigan University,440.0,460.0,430.0,19.0
Cornerstone University,465.0,445.0,453.0,21.0
Grand Valley State University,470.0,490.0,465.0,21.0
Kalamazoo College,550.0,540.0,540.0,25.0
Lake Superior State University,460.0,490.0,460.0,20.0
Lawrence Technological University,480.0,550.0,490.0,22.0
Madonna University,480.0,510.0,500.0,19.0
University of Michigan-Ann Arbor,620.0,660.0,630.0,28.0
Michigan State University,420.0,550.0,460.0,23.0
Michigan Technological University,520.0,580.0,490.0,24.0
University of Michigan-Flint,503.0,525.0,533.0,18.0
Kuyper College,420.0,440.0,380.0,18.0
Spring Arbor University,480.0,465.0,480.0,20.0
Carleton College,660.0,680.0,660.0,29.0
Concordia University-Saint Paul,480.0,440.0,430.0,18.0
Hamline University,480.0,500.0,470.0,21.0
Macalester College,620.0,610.0,630.0,29.0
University of Minnesota-Twin Cities,550.0,620.0,570.0,26.0
University of Minnesota-Crookston,420.0,420.0,380.0,19.0
University of Minnesota-Duluth,460.0,490.0,410.0,22.0
University of Minnesota-Morris,530.0,530.0,490.0,23.0
College of Saint Benedict,470.0,470.0,473.0,23.0
Saint Johns University,475.0,480.0,460.0,23.0
St Olaf College,590.0,590.0,580.0,26.0
The College of Saint Scholastica,420.0,430.0,380.0,21.0
Blue Mountain College,410.0,430.0,390.0,18.0
Rust College,310.0,320.0,340.0,13.0
Central Methodist University-College of Liberal Arts and Sciences,410.0,440.0,370.0,19.0
Drury University,525.0,515.0,465.0,22.0
Evangel University,440.0,460.0,430.0,19.0
Fontbonne University,490.0,440.0,440.0,21.0
Lindenwood University,430.0,470.0,410.0,20.0
Missouri Valley College,390.0,400.0,400.0,18.0
College of the Ozarks,510.0,450.0,495.0,20.0
Stephens College,440.0,410.0,440.0,19.0
Washington University in St Louis,700.0,720.0,700.0,32.0
Webster University,500.0,490.0,470.0,21.0
Westminster College,390.0,470.0,420.0,21.0
Carroll College,490.0,510.0,490.0,22.0
Montana Tech of the University of Montana,500.0,550.0,450.0,21.0
Montana State University,500.0,510.0,490.0,21.0
The University of Montana,490.0,480.0,470.0,21.0
Montana State University-Northern,385.0,385.0,370.0,17.0
Rocky Mountain College,450.0,450.0,430.0,19.0
Creighton University,520.0,540.0,500.0,24.0
Doane College-Crete,430.0,450.0,425.0,21.0
Grace University,400.0,423.0,410.0,19.0
University of Nevada-Las Vegas,440.0,450.0,420.0,19.0
University of Nevada-Reno,480.0,480.0,460.0,21.0
Dartmouth College,670.0,680.0,680.0,30.0
Franklin Pierce University,440.0,440.0,420.0,16.0
Plymouth State University,430.0,430.0,420.0,18.0
Rivier University,430.0,430.0,430.0,17.0
Saint Anselm College,540.0,520.0,520.0,23.0
Centenary College,410.0,410.0,400.0,18.0
Drew University,490.0,500.0,500.0,22.0
Felician College,390.0,380.0,380.0,15.0
Monmouth University,480.0,490.0,480.0,22.0
New Jersey Institute of Technology,480.0,550.0,470.0,22.0
Princeton University,700.0,710.0,710.0,31.0
Ramapo College of New Jersey,490.0,510.0,480.0,20.0
Rider University,460.0,470.0,460.0,19.0
Saint Peter's University,410.0,420.0,400.0,16.0
Seton Hall University,500.0,520.0,500.0,22.0
The Richard Stockton College of New Jersey,480.0,500.0,480.0,20.0
New Mexico State University-Main Campus,410.0,420.0,400.0,18.0
Adelphi University,500.0,520.0,510.0,19.0
Barnard College,620.0,620.0,650.0,28.0
Clarkson University,520.0,570.0,495.0,24.0
Columbia University in the City of New York,690.0,700.0,690.0,31.0
Concordia College-New York,420.0,415.0,415.0,16.0
Cooper Union for the Advancement of Science and Art,610.0,610.0,610.0,29.0
Cornell University,640.0,680.0,650.0,30.0
D'Youville College,480.0,470.0,450.0,20.0
Dominican College of Blauvelt,410.0,400.0,390.0,18.0
Fordham University,570.0,590.0,580.0,26.0
Hamilton College,640.0,660.0,650.0,29.0
Hartwick College,500.0,510.0,480.0,23.0
Houghton College,490.0,490.0,470.0,21.0
